ProjectName;Filename;Classname;LOC;Visibility;IsMock;Extensions;Implementations;PrivateMethods;ProtectedMethods;PackageMethods;PublicMethods;TotalMethods;IsStaticClass;MethodOverrides
dubbo;dubbo/dubbo-registry/dubbo-registry-default/src/test/java/org/apache/dubbo/registry/dubbo/RegistryProtocolTest.java;MockInvoker;11;package;True;1;0;0;1;0;0;1;True;1
dubbo;dubbo/dubbo-registry/dubbo-registry-default/src/test/java/org/apache/dubbo/registry/dubbo/RegistryProtocolTest.java;MockRegistry;11;package;True;1;0;0;0;0;1;1;True;1
dubbo;dubbo/dubbo-registry/dubbo-registry-default/src/test/java/org/apache/dubbo/registry/dubbo/MockedClient.java;MockedClient;260;public;True;0;1;0;0;0;49;49;False;19
dubbo;dubbo/dubbo-registry/dubbo-registry-default/src/test/java/org/apache/dubbo/registry/dubbo/MockChannel.java;MockChannel;113;public;True;0;1;0;0;0;21;21;False;17
dubbo;dubbo/dubbo-rpc/dubbo-rpc-dubbo/src/test/java/org/apache/dubbo/rpc/protocol/dubbo/decode/MockHandler.java;MockHandler;15;public;True;1;0;0;0;0;1;1;False;1
dubbo;dubbo/dubbo-rpc/dubbo-rpc-dubbo/src/test/java/org/apache/dubbo/rpc/protocol/dubbo/decode/MockChannelHandler.java;MockChannelHandler;35;public;True;0;1;0;0;0;6;6;False;5
dubbo;dubbo/dubbo-rpc/dubbo-rpc-dubbo/src/test/java/org/apache/dubbo/rpc/protocol/dubbo/decode/MockChannel.java;MockChannel;88;public;True;0;1;0;0;0;15;15;False;15
dubbo;dubbo/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/support/MockInvocation.java;MockInvocation;97;public;True;0;1;0;0;0;17;17;False;10
dubbo;dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/support/MockProtocol.java;MockProtocol;17;public;True;1;0;0;0;0;3;3;False;3
dubbo;dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/support/MockInvoker.java;MockInvoker;219;public;True;0;1;1;0;0;10;11;False;5
dubbo;dubbo/dubbo-rpc/dubbo-rpc-thrift/src/test/java/org/apache/dubbo/rpc/protocol/thrift/MockedChannel.java;MockedChannel;91;public;True;0;1;0;0;0;15;15;False;15
dubbo;dubbo/dubbo-common/src/test/java/org/apache/dubbo/common/config/MockOrderedPropertiesProvider1.java;MockOrderedPropertiesProvider1;13;public;True;0;1;0;0;0;2;2;False;2
dubbo;dubbo/dubbo-common/src/test/java/org/apache/dubbo/common/config/MockOrderedPropertiesProvider2.java;MockOrderedPropertiesProvider2;13;public;True;0;1;0;0;0;2;2;False;2
